solid   
f 0 1 2 depth 19.9251
f 2 1 3 depth 20.0107
f 2 3 4 depth 19.9258
f 4 3 5 depth 20.0113
f 4 5 6 depth 20.0113
f 6 5 7 depth 19.9258
f 6 7 8 depth 20.0106
f 8 7 9 depth 19.9251
f 8 9 10 depth 19.9251
f 10 9 11 depth 20.0107
f 10 11 12 depth 19.9258
f 12 11 13 depth 20.0113
f 12 13 14 depth 20.0113
f 14 13 15 depth 19.9258
f 14 15 16 depth 20.0107
f 16 15 17 depth 19.9251
f 16 17 18 depth 19.9251
f 18 17 19 depth 20.0107
f 18 19 20 depth 19.9258
f 20 19 21 depth 20.0113
f 20 21 22 depth 20.0113
f 22 21 23 depth 19.9258
f 22 23 24 depth 20.0107
f 24 23 25 depth 19.9251
f 24 25 26 depth 19.9251
f 26 25 27 depth 20.0106
f 26 27 28 depth 19.9258
f 28 27 29 depth 20.0113
f 28 29 30 depth 20.0113
f 30 29 31 depth 19.9258
f 30 31 32 depth 20.0106
f 32 31 33 depth 19.9251
f 32 33 34 depth 19.9251
f 34 33 35 depth 20.0107
f 34 35 36 depth 19.9258
f 36 35 37 depth 20.0113
f 36 37 38 depth 20.0113
f 38 37 39 depth 19.9258
f 38 39 40 depth 20.0106
f 40 39 41 depth 19.9251
f 40 41 42 depth 19.9251
f 42 41 43 depth 20.0107
f 42 43 44 depth 19.9258
f 44 43 45 depth 20.0113
f 44 45 46 depth 20.0113
f 46 45 47 depth 19.9258
f 46 47 48 depth 20.0107
f 48 47 49 depth 19.9251
f 48 49 50 depth 19.9251
f 50 49 51 depth 20.0107
f 50 51 52 depth 19.9258
f 52 51 53 depth 20.0113
f 52 53 54 depth 20.0113
f 54 53 55 depth 19.9258
f 54 55 56 depth 20.0107
f 56 55 57 depth 19.9251
f 56 57 58 depth 19.9251
f 58 57 59 depth 20.0106
f 58 59 60 depth 19.9258
f 60 59 61 depth 20.0113
f 60 61 62 depth 20.0113
f 62 61 63 depth 19.9258
f 62 63 0 depth 20.0106
f 0 63 1 depth 19.9251
f 64 65 66 depth 20.0283
f 66 65 67 depth 20.0854
f 66 67 68 depth 20.0854
f 68 67 69 depth 20.0283
f 68 69 70 depth 19.9713
f 70 69 71 depth 19.9713
f 70 71 72 depth 20.0283
f 72 71 73 depth 20.0854
f 72 73 74 depth 20.0854
f 74 73 75 depth 20.0283
f 74 75 76 depth 19.9713
f 65 64 77 depth 19.9713
f 77 64 78 depth 19.9713
f 77 78 79 depth 20.0283
f 79 78 80 depth 20.0854
f 79 80 81 depth 20.0854
f 81 80 82 depth 20.0283
f 81 82 83 depth 19.9713
f 83 82 84 depth 19.9713
f 83 84 85 depth 20.0283
f 85 84 86 depth 20.0854
f 85 86 87 depth 20.0854
f 87 86 88 depth 20.0283
f 87 88 89 depth 19.9713
f 90 91 92 depth 20.0283
f 92 91 93 depth 20.0854
f 92 93 94 depth 20.0854
f 94 93 95 depth 20.0283
f 94 95 96 depth 19.9713
f 96 95 97 depth 19.9713
f 96 97 98 depth 20.0283
f 98 97 99 depth 20.0854
f 98 99 100 depth 20.0854
f 100 99 89 depth 20.0283
f 100 89 88 depth 19.9713
f 91 90 101 depth 19.9713
f 101 90 102 depth 19.9713
f 101 102 103 depth 20.0283
f 103 102 104 depth 20.0854
f 103 104 105 depth 20.0854
f 105 104 106 depth 20.0283
f 105 106 107 depth 19.9713
f 107 106 108 depth 19.9713
f 107 108 109 depth 20.0283
f 109 108 110 depth 20.0854
f 109 110 111 depth 20.0854
f 111 110 76 depth 20.0283
f 111 76 75 depth 19.9713
f 88 86 62 depth 30
f 2 88 0 depth 30
f 60 62 86 depth 30
f 58 60 84 depth 30
f 88 2 100 depth 30
f 4 100 2 depth 30
f 56 58 82 depth 30
f 100 4 98 depth 30
f 54 56 82 depth 30
f 6 98 4 depth 30
f 98 6 96 depth 30
f 8 96 6 depth 30
f 10 96 8 depth 30
f 96 10 94 depth 30
f 12 94 10 depth 30
f 94 12 92 depth 30
f 14 92 12 depth 30
f 92 14 90 depth 30
f 14 16 90 depth 30
f 102 90 18 depth 30
f 16 18 90 depth 30
f 104 102 20 depth 30
f 106 104 22 depth 30
f 18 20 102 depth 30
f 108 106 26 depth 30
f 110 108 28 depth 30
f 36 74 34 depth 30
f 20 22 104 depth 30
f 86 84 60 depth 30
f 52 54 80 depth 30
f 84 82 58 depth 30
f 82 80 54 depth 30
f 50 52 78 depth 30
f 80 78 52 depth 30
f 48 50 64 depth 30
f 78 64 50 depth 30
f 48 64 46 depth 30
f 66 46 64 depth 30
f 46 66 44 depth 30
f 68 44 66 depth 30
f 44 68 42 depth 30
f 70 42 68 depth 30
f 42 70 40 depth 30
f 40 70 38 depth 30
f 72 38 70 depth 30
f 38 72 36 depth 30
f 74 36 72 depth 30
f 76 110 30 depth 30
f 22 24 106 depth 30
f 76 34 74 depth 30
f 24 26 106 depth 30
f 28 30 110 depth 30
f 26 28 108 depth 30
f 32 34 76 depth 30
f 30 32 76 depth 30
f 62 0 88 depth 30
f 63 87 89 depth 30
f 1 89 3 depth 30
f 87 63 61 depth 30
f 85 61 59 depth 30
f 99 3 89 depth 30
f 3 99 5 depth 30
f 83 59 57 depth 30
f 97 5 99 depth 30
f 83 57 55 depth 30
f 5 97 7 depth 30
f 95 7 97 depth 30
f 7 95 9 depth 30
f 9 95 11 depth 30
f 93 11 95 depth 30
f 11 93 13 depth 30
