solid   
f 0 1 2 depth 0.0843248
f 3 1 4 depth 0
f 5 6 7 depth 0.308056
f 8 6 9 depth 0
f 10 11 12 depth 0
f 13 11 14 depth 0.0913542
f 15 16 17 depth 0.056219
f 18 16 19 depth 0.0491908
f 20 21 22 depth 0.0980188
f 23 20 24 depth 0
f 25 26 27 depth 0.0491917
f 28 26 29 depth 0.0491908
f 30 31 32 depth 0.281073
f 33 31 34 depth 0
f 35 36 37 depth 0.0802458
f 38 36 39 depth 0.0983776
f 40 41 42 depth 0
f 43 41 44 depth 0.17503
f 45 46 47 depth 0.0687212
f 46 48 47 depth 0.056218
f 49 50 51 depth 0
f 52 49 53 depth 0.0539912
f 54 55 56 depth 0.0560086
f 57 54 58 depth 0
f 59 60 61 depth 0
f 62 59 63 depth 0.0687154
f 64 65 66 depth 0.0638114
f 64 67 65 depth 0.154586
f 68 69 70 depth 0.0785383
f 68 71 69 depth 0.0770135
f 72 73 74 depth 0.0560097
f 75 72 76 depth 0
f 77 78 79 depth 0.448082
f 80 77 81 depth 0
f 82 83 84 depth 0.0590998
f 82 85 83 depth 0.0913522
f 86 87 88 depth 0.0591065
f 87 89 88 depth 0.0562169
f 90 91 92 depth 0.0562215
f 93 90 94 depth 0
f 95 96 97 depth 0.140025
f 98 95 99 depth 0
f 100 101 102 depth 0.0595333
f 100 103 101 depth 0.0560097
f 104 103 105 depth 0.0525528
f 106 104 107 depth 0
f 108 109 110 depth 0.0281069
f 109 111 110 depth 0.0140525
f 112 113 114 depth 0.148834
f 112 115 113 depth 0.0772959
f 116 117 118 depth 0.0702703
f 119 116 34 depth 0
f 120 121 122 depth 0.322057
f 123 120 124 depth 0
f 33 125 126 depth 0.0632414
f 125 127 126 depth 0.0702715
f 128 129 130 depth 0.0490812
f 129 131 130 depth 0.0562207
f 132 133 134 depth 0
f 135 132 136 depth 0.0687185
f 137 138 139 depth 0.0595391
f 137 140 138 depth 0.0491908
f 141 142 143 depth 0.077012
f 144 141 145 depth 0
f 146 147 148 depth 0.0687194
f 146 149 147 depth 0
f 150 151 152 depth 0.0351353
f 150 153 151 depth 0
f 154 155 156 depth 0.0638117
f 154 157 155 depth 0.133507
f 158 159 160 depth 0.0562168
f 159 161 160 depth 0.0562158
f 162 163 164 depth 0
f 163 165 164 depth 0.056007
f 166 167 168 depth 0.0913484
f 166 169 167 depth 0.0295559
f 170 171 172 depth 0
f 171 173 172 depth 0.140025
f 174 175 22 depth 0
f 175 176 22 depth 0.0595289
f 177 178 179 depth 0.0834429
f 180 177 181 depth 0.0350079
f 182 183 184 depth 0.177312
f 182 185 183 depth 0.0702655
f 186 187 188 depth 0.105019
f 189 186 190 depth 0
f 191 192 193 depth 0.0595249
f 191 194 192 depth 0.245047
f 195 196 197 depth 0
f 195 198 196 depth 0.148791
f 199 200 201 depth 0
f 199 202 200 depth 0.059098
f 203 204 205 depth 0.0281071
f 203 206 204 depth 0.122712
f 207 208 209 depth 0
f 207 210 208 depth 0.0687194
f 211 212 213 depth 0.0530748
f 211 214 212 depth 0.0638047
f 90 93 91 depth 0.0773021
f 93 215 91 depth 0.0702759
f 216 217 218 depth 0.182702
f 219 216 220 depth 0
f 221 222 223 depth 0
f 221 224 222 depth 0.0687215
f 225 160 226 depth 0.0595241
f 225 158 160 depth 0.0980178
f 227 228 229 depth 0.0560142
f 230 227 231 depth 0
f 232 233 234 depth 0.0351353
f 232 235 233 depth 0.0590958
f 236 237 238 depth 0.0886502
f 237 239 238 depth 0.0719029
f 240 241 242 depth 0.147757
f 243 240 244 depth 0.0772974
f 245 246 247 depth 0.0983851
f 245 248 246 depth 0
f 249 250 251 depth 0.063808
f 249 252 250 depth 0.0528782
f 253 254 255 depth 0.0595253
f 253 256 254 depth 0
f 257 258 259 depth 0.378067
f 257 260 258 depth 0.08929
f 261 262 263 depth 0.0595252
f 264 261 265 depth 0
f 206 266 267 depth 0.322057
f 266 268 267 depth 0.322057
f 269 270 76 depth 0
f 269 271 270 depth 0.0687175
f 272 273 274 depth 0.0351342
f 273 275 274 depth 0.056214
f 276 277 278 depth 0.0421653
f 276 279 277 depth 0
f 280 281 282 depth 0.0491907
f 280 283 281 depth 0.147757
f 284 285 286 depth 0.059105
f 284 287 285 depth 0.0772958
f 104 288 103 depth 0
f 288 289 103 depth 0.118209
f 290 291 292 depth 0.0491908
f 290 293 291 depth 0.0595377
f 294 295 296 depth 0
f 294 297 295 depth 0.0421624
f 298 299 300 depth 0
f 299 301 300 depth 0.0590899
f 302 151 128 depth 0
f 303 302 304 depth 0.0773014
f 305 306 307 depth 0
f 306 308 307 depth 0.0980183
f 309 310 311 depth 0.175031
f 312 309 313 depth 0
f 314 315 316 depth 0.0591117
f 314 317 315 depth 0.0702674
f 318 319 320 depth 0
f 319 311 320 depth 0.0421586
f 321 322 323 depth 0.0595319
f 324 321 325 depth 0
f 326 327 328 depth 0.0595239
f 329 326 330 depth 0
f 331 332 333 depth 0.0892854
f 331 334 332 depth 0.0913462
f 335 336 337 depth 0.14054
f 336 338 337 depth 0.154594
f 339 340 341 depth 0.287052
f 339 342 340 depth 0.119051
f 343 344 345 depth 0.161029
f 346 343 347 depth 0
f 348 145 349 depth 0.0687162
f 348 60 145 depth 0
f 350 351 352 depth 0.140025
f 350 353 351 depth 0
f 354 355 356 depth 0.0591052
f 354 357 355 depth 0.147564
f 358 359 360 depth 0.052879
f 358 361 359 depth 0.0595168
f 362 363 364 depth 0
f 363 365 364 depth 0.053992
f 366 367 368 depth 0.084014
f 369 366 370 depth 0
f 371 372 19 depth 0
f 372 373 19 depth 0.0491908
f 11 374 14 depth 0.0772997
f 374 375 14 depth 0.0913542
f 376 377 378 depth 0.0892789
f 377 379 378 depth 0.10132
f 380 381 382 depth 0.118187
f 380 383 381 depth 0.0700121
f 384 385 386 depth 0.0892876
f 387 384 388 depth 0.0913464
f 31 33 32 depth 0.267018
f 33 389 32 depth 0.281073
f 390 391 392 depth 0
f 390 393 391 depth 0.0420048
f 394 395 396 depth 0.0983786
f 395 397 396 depth 0.0632414
f 398 399 327 depth 0
f 398 400 399 depth 0.028107
f 401 402 403 depth 0.0913508
f 401 404 402 depth 0.0591184
f 405 406 407 depth 0
f 406 408 407 depth 0.0595116
f 409 410 411 depth 0
f 410 412 411 depth 0.0590967
f 413 414 415 depth 0.0773005
f 414 416 415 depth 0.0913559
f 417 418 115 depth 0.178573
f 419 417 420 depth 0.056216
f 421 422 252 depth 0
f 422 423 252 depth 0
f 424 425 426 depth 0.0772939
f 424 427 425 depth 0.119051
f 428 429 430 depth 0.0770157
f 431 428 432 depth 0
f 433 434 435 depth 0.0351363
f 433 436 434 depth 0.0297736
f 437 438 439 depth 0.0420075
f 437 440 438 depth 0.0886362
f 424 441 427 depth 0.0892915
f 441 386 427 depth 0.0562122
f 442 443 444 depth 0.0280056
f 443 445 444 depth 0.0140028
f 446 447 448 depth 0.0743073
f 446 449 447 depth 0.078536
f 450 451 94 depth 0
f 450 452 451 depth 0.434079
f 287 453 209 depth 0
f 453 454 209 depth 0
f 455 456 457 depth 0
f 458 455 139 depth 0.056212
f 459 460 187 depth 0.238048
f 459 461 460 depth 0.0630098
f 462 448 463 depth 0
f 446 462 449 depth 0.0687219
f 464 465 466 depth 0.0560097
f 464 157 465 depth 0
f 467 468 469 depth 0
f 467 470 468 depth 0.281071
f 471 472 473 depth 0.0980178
f 474 471 475 depth 0
f 476 477 478 depth 0.133511
f 476 479 477 depth 0
f 480 305 272 depth 0
f 480 481 305 depth 0.0140526
f 482 483 484 depth 0.0687201
f 483 12 484 depth 0.0772997
f 485 486 487 depth 0.0140545
f 488 485 489 depth 0
f 490 246 248 depth 0
f 490 491 246 depth 0.308056
f 492 493 494 depth 0
f 493 495 494 depth 0.147732
f 496 497 498 depth 0.448082
f 499 496 500 depth 0
f 501 502 503 depth 0.178557
f 504 501 505 depth 0.0562141
f 506 507 508 depth 0.0886527
f 506 509 507 depth 0.140025
f 510 511 512 depth 0.0595303
f 510 513 511 depth 0.105022
f 514 515 516 depth 0.182033
f 514 517 515 depth 0.0595252
f 518 519 520 depth 0.0590961
f 521 518 522 depth 0.0840121
f 523 524 525 depth 0.0539869
f 526 523 527 depth 0
f 528 529 530 depth 0.056213
f 531 528 532 depth 0
f 533 534 535 depth 0.0210817
f 533 536 534 depth 0.0638074
f 537 528 538 depth 0
f 528 537 532 depth 0
f 482 539 540 depth 0.0772955
f 482 484 539 depth 0.0785352
f 541 542 543 depth 0.203791
f 544 541 545 depth 0
f 546 547 548 depth 0.0785363
f 547 479 548 depth 0.0687197
f 549 550 551 depth 0.059528
f 549 552 550 depth 0.0280056
f 553 554 555 depth 0.0772976
f 556 553 557 depth 0
f 558 559 560 depth 0
f 559 561 560 depth 0.056007
f 562 563 564 depth 0.077296
f 562 565 563 depth 0.0590992
f 566 285 287 depth 0.0528774
f 566 567 285 depth 0.0595224
f 568 569 570 depth 0.0843212
